Address,Bedroom_Number,Price,Distance
"4 Mason St, Cambridge, MA",1,2500.0,0.5758599863491203
" 808 Memorial Dr, Cambridge, MA",1,2300.0,0.7627687452226256
" 808 Memorial Dr, Cambridge, MA",2,1450.0,0.7627687452226256
"15 Trowbridge St, Cambridge, MA",1,2200.0,0.7493323763229921
"14 Concord Ave, Cambridge, MA",1,2200.0,0.7472983746364246
"14 Concord Ave, Cambridge, MA",3,1966.6666666666667,0.7472983746364246
" 1008 Massachusetts Ave, Cambridge, MA",1,2500.0,0.8003995132999855
" 1008 Massachusetts Ave, Cambridge, MA",1,3000.0,0.8003995132999855
" 1008 Massachusetts Ave, Cambridge, MA",2,2000.0,0.8003995132999855
" 632 Massachusetts Ave, Cambridge, MA",1,3000.0,1.9061014379072974
" 632 Massachusetts Ave, Cambridge, MA",2,1750.0,1.9061014379072974
"Magoun St, Cambridge, MA 02140",3,900.0,2.2170250483889924
"53 Trowbridge St, Cambridge, MA",1,1950.0,0.8701969970430071
"Harvard St, Cambridge, MA 02139",2,1300.0,1.3885652620480045
"9 5th St, Cambridge, MA 02141",1,2200.0,2.261548732617707
"18 Whittier St, Cambridge, MA",1,2150.0,1.3055656143202643
"55 Magazine St, Cambridge, MA",1,1950.0,1.0403108584253118
"55 Magazine St, Cambridge, MA",2,1650.0,1.0403108584253118
"48 Cedar St #A, Cambridge, MA 02140",2,995.0,1.89194981802784
"1600 Massachusetts Ave, Cambridge, MA",2,1437.5,0.8746490666467343
"41 Hawthorn St, Cambridge, MA",1,2295.0,0.48511999025557034
"Broadway, Cambridge, MA 02139",3,800.0,1.3266338583596844
"117A Sciarappa St #A, Cambridge, MA 02141",3,1233.3333333333333,2.2786152975542593
"173 Otis St, Cambridge, MA 02141",2,975.0,2.066782911444041
"Otis St, Cambridge, MA 02141",2,1400.0,2.3119674805029753
"199 Prospect St, Cambridge, MA",2,950.0,1.3514515182612186
"44 Concord Ave, Cambridge, MA",1,1975.0,0.8551112123657566
"44 Concord Ave, Cambridge, MA",2,1200.0,0.8551112123657566
"101 Western Ave, Cambridge, MA",1,1750.0,0.9954587493548478
"101 Western Ave, Cambridge, MA",2,1100.0,0.9954587493548478
"267 Brookline St, Cambridge, MA 02139",1,1800.0,1.1953305096256581
"309 Elm St, Cambridge, MA",2,1097.5,1.6661232322209703
"130 Mount Auburn St, Cambridge, MA",1,3995.0,0.37083689282570675
"109 Gore St, Cambridge, MA 02141",2,1200.0,2.299588744121087
"417 Cardinal Medeiros Ave, Cambridge, MA",3,1100.0,1.9535764434606282
"417 Cardinal Medeiros Ave, Cambridge, MA",4,750.0,1.9535764434606282
"1 Earhart St, Cambridge, MA",1,2600.0,2.6631050247441506
"153 Richdale Ave #B, Cambridge, MA 02140",1,2100.0,1.479781515771438
"77 Trowbridge St, Cambridge, MA",1,2000.0,0.9918420705945702
"77 Trowbridge St, Cambridge, MA",2,1150.0,0.9918420705945702
"395 Broadway, Cambridge, MA",1,1890.0,1.0456055479905566
"395 Broadway, Cambridge, MA",2,1600.0,1.0456055479905566
"10 Museum Way, Cambridge, MA",1,2400.0,2.798227631480202
"10 Museum Way, Cambridge, MA",2,1475.0,2.798227631480202
"618 Cambridge St, Cambridge, MA 02141",20,250.0,2.0732055108294136
"24 Garden St, Cambridge, MA 02138",2,1750.0,0.7122545049447923
"Magazine St, Cambridge, MA 02139",2,1237.5,1.163288346146233
"988 Memorial Dr, Cambridge, MA",1,1950.0,0.4352548432561109
" 1 & 3 Chauncy St, Cambridge, MA",1,2785.0,0.904246264074142
" 1 & 3 Chauncy St, Cambridge, MA",2,1442.5,0.904246264074142
" 1000 Memorial Dr, Cambridge, MA",3,1150.0,0.42837405642393483
" 1000 Memorial Dr, Cambridge, MA",4,1000.0,0.42837405642393483
"Craigie Cir, Cambridge, MA 02138",1,1875.0,0.7663658187205914
"Craigie Cir, Cambridge, MA 02138",1,2000.0,0.7663658187205914
"Wendell St, Cambridge, MA 02138",1,1875.0,1.0334935857736867
"348 Franklin St, Cambridge, MA",2,1050.0,0.9754617891677001
"68 Homer Ave, Cambridge, MA 02138",2,925.0,1.2417539399131536
"179 1/2 Harvard St, Cambridge, MA",2,1100.0,0.6646217176659875
"183 Harvard St, Cambridge, MA",2,1100.0,1.5503894040282689
"183 Harvard St, Cambridge, MA",3,966.6666666666666,1.5503894040282689
"Windsor St, Cambridge, MA 02139",1,1900.0,1.5760813872969095
"19 Chester St, Cambridge, MA 02140",1,1420.0,1.8035792150381886
"30 Upland Rd, Cambridge, MA",1,2150.0,1.4052028244212706
"381 Harvard St, Cambridge, MA",1,1950.0,0.7631467162959886
"Massachusetts Ave, Cambridge, MA 02139",1,2645.0,1.2875359039375198
"295 Harvard St, Cambridge, MA",1,2200.0,1.1144473612379981
"295 Harvard St, Cambridge, MA",2,1350.0,1.1144473612379981
"15 Kelley St #A, Cambridge, MA 02138",4,1000.0,1.123073989226883
"323 Columbia St, Cambridge, MA",3,833.3333333333334,1.6008176504532536
"375 Broadway, Cambridge, MA",1,1400.0,1.143273430177767
"13 Story St, Cambridge, MA",1,2950.0,0.4672326646235153
"13 Story St, Cambridge, MA",2,1372.5,0.4672326646235153
"12-16 Ellery St, Cambridge, MA",2,1150.0,0.8099519268293043
"83 Winter St, Cambridge, MA",1,1950.0,2.316270839173796
"83 Winter St, Cambridge, MA",2,1150.0,2.316270839173796
"83 Winter St, Cambridge, MA",3,1066.6666666666667,2.316270839173796
"305 Cardinal Medeiros Ave, Cambridge, MA",1,2200.0,1.8691792010010924
"1654 Massachusetts Ave, Cambridge, MA",1,2000.0,1.0029541962685828
"7 Story St #B, Cambridge, MA 02138",4,1500.0,0.48802466885183077
"81 6th St, Cambridge, MA 02141",2,1450.0,2.110769214599803
"195 Binney St, Cambridge, MA 02142",1,2740.0,2.2526486062473214
"61 Garfield St, Cambridge, MA 02138",1,2200.0,1.2118917946999783
"Griswold St, Cambridge, MA 02138",2,1375.0,2.2655719301638113
