Addresses,Prices
"173 Otis St, Cambridge, MA 02141","$1,950/mo
2 bds1 ba1,632 sqft"
"41 Essex St #1, Cambridge, MA 02139","$3,600/mo
2 bds2 ba1,305 sqft"
"Otis St, Cambridge, MA 02141","$2,800/mo
2 bds1 ba950 sqft"
"29 Blanchard Rd #2, Cambridge, MA 02138","$2,700/mo
3 bds2 ba1,100 sqft"
"199 Prospect St, Cambridge, MA","$1,900+ 2 bds"
"257 Pearl St #3, Cambridge, MA 02139","$2,000/mo
1 bd1 ba700 sqft"
"44 Concord Ave, Cambridge, MA","$1,975 1 bd$2,400+ 2 bds"
"183 3rd St APT 1, Cambridge, MA 02141","$2,150/mo
1 bd1 ba700 sqft"
"341 Cambridge St #2, Cambridge, MA 02141","$2,200/mo
3 bds1 ba1,000 sqft"
"26 Mount Auburn St #1, Cambridge, MA 02138","$2,300/mo
1 bd1 ba250 sqft"
"101 Western Ave, Cambridge, MA","$1,750 1 bd$2,200 2 bds"
"267 Brookline St, Cambridge, MA 02139","$1,800/mo
1 bd1 ba640 sqft"
"309 Elm St, Cambridge, MA","$2,195+ 2 bds"
"130 Mount Auburn St, Cambridge, MA","$3,995+ 1 bd"
"509 Franklin St #3, Cambridge, MA 02139","$3,200/mo
2 bds1 ba1,000 sqft"
"8 Beech St #4, Cambridge, MA 02140","$2,500/mo
3 bds1 ba1,100 sqft"
"2277 Massachusetts Ave APT 1, Cambridge, MA 02140","$2,800/mo
2 bds1 ba950 sqft"
"904 Massachusetts Ave #2, Cambridge, MA 02139","$2,000/mo
2 bds1 ba1,024 sqft"
"109 Gore St, Cambridge, MA 02141","$2,400/mo
2 bds1 ba1,000 sqft"
"8 Gladstone St #1, Cambridge, MA 02140","$1,800/mo
1 bd1 ba575 sqft"
"173 Rindge Ave #3R, Cambridge, MA 02140","$5,000/mo
5 bds2 ba-- sqft"
"2440 Massachusetts Ave UNIT 25, Cambridge, MA 02140","$2,200/mo
1 bd1 ba550 sqft"
"71 Elm St #1, Cambridge, MA 02139","$3,500/mo
4 bds2 ba1,400 sqft"
"417 Cardinal Medeiros Ave, Cambridge, MA","$3,300 3 bds$3,000 4 bds"
"1 Earhart St, Cambridge, MA","$2,600+ 1 bd"
"346 Harvard St APT 2, Cambridge, MA 02138","$2,400/mo
1 bd1 ba800 sqft"
"153 Richdale Ave #B, Cambridge, MA 02140","$2,100/mo
1 bd1 ba-- sqft"
"77 Trowbridge St, Cambridge, MA","$2,000 1 bd$2,300 2 bds"
"395 Broadway, Cambridge, MA","$1,890 Studio$3,200 2 bds"
"358 Putnam Ave #1, Cambridge, MA 02139","$3,200/mo
4 bds2 ba1,450 sqft"
"195 Mount Auburn St #2, Cambridge, MA 02138","$2,500/mo
2 bds1 ba850 sqft"
"39 Magee St #2, Cambridge, MA 02139","$2,500/mo
2 bds1 ba1,000 sqft"
"62 Hurley St #1, Cambridge, MA 02141","$2,750/mo
2 bds1 ba889 sqft"
"240 Western Ave #3, Cambridge, MA 02139","$2,100/mo
2 bds1 ba800 sqft"
"8 Newport Rd APT 8, Cambridge, MA 02140","$3,000/mo
2 bds1 ba1,142 sqft"
